song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Age Of The Understatement,Miles Kane,5WXMS6w7Gvb02b6bx4eBSF,52,0.383,0.868,11.0,-6.222,0.0,0.0847,0.00114,3.51e-06,0.353,0.546,147.267,audio_features,5WXMS6w7Gvb02b6bx4eBSF,spotify:track:5WXMS6w7Gvb02b6bx4eBSF,https://api.spotify.com/v1/tracks/5WXMS6w7Gvb02b6bx4eBSF,https://api.spotify.com/v1/audio-analysis/5WXMS6w7Gvb02b6bx4eBSF,189560.0,4.0
Unchained Melody,The Righteous Brothers,1jFhnVoJkcB4lf9tT0rSZS,62,0.361,0.219,0.0,-16.553,1.0,0.0285,0.563,0.0,0.558,0.26,98.532,audio_features,1jFhnVoJkcB4lf9tT0rSZS,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,https://api.spotify.com/v1/tracks/1jFhnVoJkcB4lf9tT0rSZS,https://api.spotify.com/v1/audio-analysis/1jFhnVoJkcB4lf9tT0rSZS,216267.0,3.0
Movin' on Up,Primal Scream,67ncFJWaIbJdqZl1bpEppz,60,0.523,0.76,5.0,-12.437,1.0,0.0325,0.103,0.00068,0.0666,0.581,94.267,audio_features,67ncFJWaIbJdqZl1bpEppz,spotify:track:67ncFJWaIbJdqZl1bpEppz,https://api.spotify.com/v1/tracks/67ncFJWaIbJdqZl1bpEppz,https://api.spotify.com/v1/audio-analysis/67ncFJWaIbJdqZl1bpEppz,228267.0,4.0
Hey Dude,Kula Shaker,66Vp0lK0dCcNOaG6zV6dzO,0,0.498,0.922,5.0,-7.6,1.0,0.0524,0.00578,0.000969,0.135,0.787,118.334,audio_features,66Vp0lK0dCcNOaG6zV6dzO,spotify:track:66Vp0lK0dCcNOaG6zV6dzO,https://api.spotify.com/v1/tracks/66Vp0lK0dCcNOaG6zV6dzO,https://api.spotify.com/v1/audio-analysis/66Vp0lK0dCcNOaG6zV6dzO,250533.0,4.0
The Boxer,Simon & Garfunkel,6K1BMBzqN51P5OV2ij7WwU,0,0.445,0.486,11.0,-14.521,1.0,0.0616,0.76,0.000658,0.189,0.629,93.019,audio_features,6K1BMBzqN51P5OV2ij7WwU,spotify:track:6K1BMBzqN51P5OV2ij7WwU,https://api.spotify.com/v1/tracks/6K1BMBzqN51P5OV2ij7WwU,https://api.spotify.com/v1/audio-analysis/6K1BMBzqN51P5OV2ij7WwU,307667.0,4.0
Whatever,Oasis,7jr2K0ArBDR6E2tvEkFOlK,0,0.279,0.891,7.0,-2.909,1.0,0.0344,0.0137,0.0562,0.597,0.306,93.495,audio_features,7jr2K0ArBDR6E2tvEkFOlK,spotify:track:7jr2K0ArBDR6E2tvEkFOlK,https://api.spotify.com/v1/tracks/7jr2K0ArBDR6E2tvEkFOlK,https://api.spotify.com/v1/audio-analysis/7jr2K0ArBDR6E2tvEkFOlK,380187.0,4.0
Smells Like Teen Spirit,Nirvana,1f3yAtsJtY87CTmM8RLnxf,2,0.502,0.912,1.0,-4.556,1.0,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,audio_features,1f3yAtsJtY87CTmM8RLnxf,spotify:track:1f3yAtsJtY87CTmM8RLnxf,https://api.spotify.com/v1/tracks/1f3yAtsJtY87CTmM8RLnxf,https://api.spotify.com/v1/audio-analysis/1f3yAtsJtY87CTmM8RLnxf,301920.0,4.0
Step On,Happy Mondays,0xZuxFQjLWZnRMOFlFDsF5,0,0.597,0.91,7.0,-7.66,1.0,0.0374,2.26e-05,0.341,0.0945,0.58,104.932,audio_features,0xZuxFQjLWZnRMOFlFDsF5,spotify:track:0xZuxFQjLWZnRMOFlFDsF5,https://api.spotify.com/v1/tracks/0xZuxFQjLWZnRMOFlFDsF5,https://api.spotify.com/v1/audio-analysis/0xZuxFQjLWZnRMOFlFDsF5,316746.0,4.0
Manic Monday,The Bangles,7Di7t9yGoxdZRLAt5a4pi0,64,0.685,0.571,2.0,-11.623,1.0,0.0299,0.335,2.38e-06,0.214,0.869,121.737,audio_features,7Di7t9yGoxdZRLAt5a4pi0,spotify:track:7Di7t9yGoxdZRLAt5a4pi0,https://api.spotify.com/v1/tracks/7Di7t9yGoxdZRLAt5a4pi0,https://api.spotify.com/v1/audio-analysis/7Di7t9yGoxdZRLAt5a4pi0,184173.0,4.0
One Day Like This,Elbow,1OZSVl0JJ1MBzibpuhmmXb,60,0.425,0.651,10.0,-6.131,1.0,0.0287,0.105,0.0,0.138,0.366,159.363,audio_features,1OZSVl0JJ1MBzibpuhmmXb,spotify:track:1OZSVl0JJ1MBzibpuhmmXb,https://api.spotify.com/v1/tracks/1OZSVl0JJ1MBzibpuhmmXb,https://api.spotify.com/v1/audio-analysis/1OZSVl0JJ1MBzibpuhmmXb,394173.0,4.0
